time,place,magnitude,depth_km,latitude,longitude,lat_bin,lon_bin,cell_id
2000-12-03 08:26:31.450,"39 km SSW of Ashk?sham, Afghanistan",3.8,262.1,36.388,71.294,36.0,71.0,36.0_71.0
2000-12-03 03:35:52.500,"40 km SW of Ashk?sham, Afghanistan",4.1,232.7,36.426,71.21,36.0,71.0,36.0_71.0
2000-11-30 12:40:44.840,"21 km N of Rust?q, Afghanistan",3.9,33.0,37.322,69.815,37.0,69.5,37.0_69.5
2000-11-27 00:10:30.380,"2 km NW of Ashk?sham, Afghanistan",4.1,191.3,36.702,71.511,36.5,71.5,36.5_71.5
2000-11-26 02:01:49.610,"Southern Qinghai, China",5.4,33.0,35.868,90.55,35.5,90.5,35.5_90.5
2000-11-23 21:06:49.130,"195 km S of Port Blair, India",4.0,33.0,9.9,92.804,9.5,92.5,9.5_92.5
2000-11-23 02:44:45.420,"35 km SE of Farkh?r, Afghanistan",4.3,200.0,36.309,70.082,36.0,70.0,36.0_70.0
2000-11-22 19:30:03.240,western Xizang,4.3,33.0,34.528,82.524,34.5,82.5,34.5_82.5
2000-11-22 08:40:31.380,"18 km E of Rohru, India",3.7,33.0,31.181,77.949,31.0,77.5,31.0_77.5
2000-11-19 15:44:15.320,"293 km NNW of Nagqu, China",4.4,33.0,33.916,90.849,33.5,90.5,33.5_90.5
2000-11-18 17:30:08.010,"35 km E of Khorugh, Tajikistan",3.5,149.7,37.435,71.947,37.0,71.5,37.0_71.5
2000-11-17 02:42:02.090,"74 km SSW of Jurm, Afghanistan",4.4,74.8,36.207,70.644,36.0,70.5,36.0_70.5
2000-11-15 06:18:49.140,"80 km E of W?ngjing, India",4.0,33.0,24.633,94.853,24.5,94.5,24.5_94.5
2000-11-13 20:22:11.990,"135 km N of Nagqu, China",4.6,33.0,32.683,92.252,32.5,92.0,32.5_92.0
2000-11-13 08:56:49.030,"88 km S of Saiha, India",5.5,33.0,21.692,92.908,21.5,92.5,21.5_92.5
2000-11-12 19:34:19.700,"39 km W of Sabang, Indonesia",4.5,86.1,5.821,94.968,5.5,94.5,5.5_94.5
2000-11-09 17:31:50.040,"22 km SE of Nongstoin, India",4.2,37.5,25.376,91.426,25.0,91.0,25.0_91.0
2000-11-09 13:39:29.970,"68 km NW of Zangguy, China",4.6,66.0,37.69,78.178,37.5,78.0,37.5_78.0
2000-11-09 08:37:50.680,"39 km NE of B?ndarban, Bangladesh",4.7,14.0,22.466,92.468,22.0,92.0,22.0_92.0
2000-11-08 22:46:56.130,"295 km NNW of Nagqu, China",4.7,33.0,33.885,90.714,33.5,90.5,33.5_90.5
2000-11-06 18:46:06.570,"201 km S of Port Blair, India",4.7,33.0,9.859,92.95,9.5,92.5,9.5_92.5
2000-11-06 18:22:15.370,"187 km SSE of Port Blair, India",4.4,97.2,10.045,93.252,10.0,93.0,10.0_93.0
2000-11-06 13:49:18.720,"Hindu Kush region, Afghanistan",3.7,300.0,36.568,70.854,36.5,70.5,36.5_70.5
2000-11-06 02:04:11.360,"204 km SSE of Port Blair, India",4.2,33.0,9.89,93.259,9.5,93.0,9.5_93.0
2000-11-06 02:01:14.700,"Nicobar Islands, India region",4.2,33.0,9.928,93.255,9.5,93.0,9.5_93.0
2000-11-05 15:02:59.520,"209 km SSE of Port Blair, India",3.8,33.0,9.835,93.224,9.5,93.0,9.5_93.0
2000-11-05 12:47:04.530,"192 km S of Port Blair, India",5.6,33.0,9.938,92.978,9.5,92.5,9.5_92.5
2000-11-04 23:17:58.890,"173 km ENE of Thang, India",4.4,55.5,35.569,78.532,35.5,78.5,35.5_78.5
2000-11-03 22:13:21.430,"35 km ENE of Nahr?n, Afghanistan",4.5,33.0,36.148,69.514,36.0,69.5,36.0_69.5
2000-11-02 17:08:49.100,"298 km ENE of Port Blair, India",5.0,33.0,12.688,95.282,12.5,95.0,12.5_95.0
2000-11-01 17:28:13.910,"65 km SSW of Ashk?sham, Afghanistan",4.8,33.0,36.13,71.293,36.0,71.0,36.0_71.0
2000-10-31 13:59:33.030,"9 km ESE of Farkhor, Tajikistan",4.8,33.0,37.451,69.498,37.0,69.0,37.0_69.0
2000-10-31 11:27:31.350,"6 km SSE of Farkhor, Tajikistan",4.1,33.0,37.435,69.425,37.0,69.0,37.0_69.0
2000-10-31 05:21:03.480,"136 km N of Nagqu, China",4.9,33.0,32.704,92.197,32.5,92.0,32.5_92.0
2000-10-31 02:45:45.850,"125 km N of Nagqu, China",4.2,33.0,32.597,92.208,32.5,92.0,32.5_92.0
2000-10-31 01:20:28.850,"141 km N of Nagqu, China",4.9,33.0,32.75,92.198,32.5,92.0,32.5_92.0
2000-10-30 23:44:00.530,"135 km NNE of Nagqu, China",4.6,33.0,32.666,92.396,32.5,92.0,32.5_92.0
2000-10-30 23:23:10.350,"141 km N of Nagqu, China",5.2,33.0,32.742,92.237,32.5,92.0,32.5_92.0
2000-10-30 23:17:17.500,Xizang-Qinghai border region,4.7,33.0,32.681,92.259,32.5,92.0,32.5_92.0
2000-10-30 22:39:06.500,"8 km NNW of Yang? Qal‘ah, Afghanistan",5.1,33.0,37.542,69.582,37.5,69.5,37.5_69.5
2000-10-28 20:20:58.180,"129 km N of Nagqu, China",4.9,33.0,32.641,92.052,32.5,92.0,32.5_92.0
2000-10-28 20:03:17.680,"133 km N of Nagqu, China",5.1,33.0,32.673,92.231,32.5,92.0,32.5_92.0
2000-10-28 06:03:13.980,"23 km NNW of Barkhan, Pakistan",4.6,33.0,30.102,69.456,30.0,69.0,30.0_69.0
2000-10-28 04:38:05.400,"69 km N of P?r?n, Afghanistan",4.6,81.3,36.044,70.97,36.0,70.5,36.0_70.5
2000-10-27 03:53:05.820,"134 km N of Nagqu, China",4.7,33.0,32.692,92.137,32.5,92.0,32.5_92.0
2000-10-26 15:22:34.920,"30 km WSW of Jumla, Nepal",4.8,33.0,29.211,81.875,29.0,81.5,29.0_81.5
2000-10-26 13:56:38.980,"42 km ESE of Khorugh, Tajikistan",4.1,150.5,37.338,71.989,37.0,71.5,37.0_71.5
2000-10-26 08:54:30.770,"127 km S of Port Blair, India",4.8,48.4,10.516,92.782,10.5,92.5,10.5_92.5
2000-10-25 13:22:17.920,"96 km NE of P?sigh?t, India",4.4,33.0,28.78,95.894,28.5,95.5,28.5_95.5
2000-10-22 19:00:20.420,"44 km ESE of Farkh?r, Afghanistan",4.3,210.4,36.429,70.316,36.0,70.0,36.0_70.0
2000-10-19 01:49:40.460,"14 km SW of Khangah Dogran, Pakistan",4.9,47.7,31.732,73.532,31.5,73.5,31.5_73.5
2000-10-16 22:33:09.530,"30 km SE of Sihor?, India",4.7,33.0,23.28,80.3,23.0,80.0,23.0_80.0
2000-10-16 01:11:27.770,"59 km S of Jurm, Afghanistan",4.2,200.0,36.343,70.707,36.0,70.5,36.0_70.5
2000-10-15 15:32:30.570,"75 km N of Sarupathar, India",4.2,107.7,26.89,96.753,26.5,96.5,26.5_96.5
2000-10-14 17:47:55.030,"69 km SE of Farkh?r, Afghanistan",4.2,33.0,36.083,70.346,36.0,70.0,36.0_70.0
2000-10-14 13:51:37.830,"64 km SW of Ashk?sham, Afghanistan",4.9,93.1,36.223,71.103,36.0,71.0,36.0_71.0
2000-10-13 23:52:31.380,"81 km ENE of Thang, India",4.7,33.0,35.255,77.59,35.0,77.5,35.0_77.5
2000-10-13 02:38:47.340,"12 km NE of Chamba, India",4.1,33.0,32.632,76.23,32.5,76.0,32.5_76.0
2000-10-12 12:05:22.920,"191 km S of Port Blair, India",4.4,33.0,9.943,92.957,9.5,92.5,9.5_92.5
2000-10-12 10:00:37.710,"202 km S of Port Blair, India",4.7,33.0,9.845,92.962,9.5,92.5,9.5_92.5
2000-10-12 08:18:04.390,"177 km S of Port Blair, India",4.8,33.0,10.068,92.866,10.0,92.5,10.0_92.5
2000-10-12 07:54:39.630,"186 km S of Port Blair, India",5.3,51.3,9.98,92.86,9.5,92.5,9.5_92.5
2000-10-12 00:08:00.620,"99 km ENE of Man?li, India",4.7,33.0,32.572,78.17,32.5,78.0,32.5_78.0
2000-10-11 11:13:12.990,"191 km S of Port Blair, India",4.6,80.1,9.962,93.059,9.5,93.0,9.5_93.0
2000-10-11 09:42:09.270,"52 km ENE of Mawlaik, Myanmar",5.6,116.5,23.866,94.863,23.5,94.5,23.5_94.5
2000-10-10 23:56:37.210,"191 km S of Port Blair, India",4.7,33.0,9.943,92.895,9.5,92.5,9.5_92.5
2000-10-10 23:56:26.170,"192 km S of Port Blair, India",3.9,33.0,9.924,92.809,9.5,92.5,9.5_92.5
2000-10-10 23:32:02.430,"10 km SE of Barkhan, Pakistan",4.7,33.0,29.824,69.587,29.5,69.5,29.5_69.5
2000-10-10 12:55:12.700,"195 km S of Port Blair, India",4.6,33.0,9.903,92.908,9.5,92.5,9.5_92.5
2000-10-10 12:42:19.510,"203 km S of Port Blair, India",4.3,33.0,9.831,92.876,9.5,92.5,9.5_92.5
2000-10-10 06:11:32.700,"26 km SE of Baikunthpur, India",4.5,33.0,23.08,82.728,23.0,82.5,23.0_82.5
2000-10-09 21:50:46.470,"190 km S of Port Blair, India",4.7,33.0,9.953,92.965,9.5,92.5,9.5_92.5
2000-10-09 02:30:00.570,"185 km S of Port Blair, India",5.9,33.0,10.002,92.952,10.0,92.5,10.0_92.5
2000-10-09 01:21:10.850,"52 km E of Dipayal, Nepal",4.1,33.0,29.332,81.479,29.0,81.0,29.0_81.0
2000-10-08 14:51:47.970,"Hindu Kush region, Afghanistan",3.9,33.0,36.317,70.458,36.0,70.0,36.0_70.0
2000-10-08 06:14:57.420,"128 km NW of Rikaze, China",4.7,33.0,30.193,88.115,30.0,88.0,30.0_88.0
2000-10-07 21:52:26.350,"175 km S of Port Blair, India",4.6,45.4,10.084,92.904,10.0,92.5,10.0_92.5
2000-10-07 15:34:54.770,"62 km WSW of Khuzdar, Pakistan",4.6,33.0,27.593,66.029,27.5,66.0,27.5_66.0
2000-10-07 05:23:25.670,"66 km ENE of Khorugh, Tajikistan",4.5,96.8,37.661,72.272,37.5,72.0,37.5_72.0
2000-10-06 12:05:40.650,"60 km ENE of Bhamo, Myanmar",5.4,33.0,24.38,97.81,24.0,97.5,24.0_97.5
2000-10-05 14:10:31.470,"184 km SSE of Port Blair, India",4.1,84.2,10.098,93.329,10.0,93.0,10.0_93.0
2000-10-02 05:42:40.960,"58 km N of Khand?d, Afghanistan",4.4,210.0,37.474,72.327,37.0,72.0,37.0_72.0
2000-10-01 10:59:18.860,"236 km S of Port Blair, India",4.5,86.0,9.554,93.078,9.5,93.0,9.5_93.0
2000-10-01 01:20:45.130,"13 km WSW of Farkh?r, Afghanistan",4.4,33.0,36.51,69.728,36.5,69.5,36.5_69.5
2000-09-27 14:06:33.930,"56 km ESE of Farkh?r, Afghanistan",4.3,200.0,36.35,70.423,36.0,70.0,36.0_70.0
2000-09-27 04:45:08.570,"58 km SW of Murghob, Tajikistan",4.2,33.0,37.836,73.456,37.5,73.0,37.5_73.0
2000-09-26 19:39:28.410,"15 km WNW of Kishtw?r, India",4.6,33.0,33.377,75.614,33.0,75.5,33.0_75.5
2000-09-26 13:39:45.480,"68 km SSW of Port Blair, India",4.6,33.0,11.137,92.414,11.0,92.0,11.0_92.0
2000-09-26 07:22:44.060,"22 km NNW of Barkot, India",4.5,33.0,30.998,78.13,30.5,78.0,30.5_78.0
2000-09-26 01:13:41.700,"15 km NNE of Ishqoshim, Tajikistan",4.3,122.7,36.854,71.687,36.5,71.5,36.5_71.5
2000-09-24 15:26:45.940,western Xizang,4.6,33.0,35.148,87.799,35.0,87.5,35.0_87.5
2000-09-19 22:06:50.870,"21 km NNW of Ishqoshim, Tajikistan",4.2,137.5,36.897,71.508,36.5,71.5,36.5_71.5
2000-09-19 08:24:04.540,"54 km SW of Jurm, Afghanistan",4.7,205.9,36.463,70.474,36.0,70.0,36.0_70.0
2000-09-17 19:46:40.340,"4 km NW of H?jo, India",4.0,33.0,26.275,91.496,26.0,91.0,26.0_91.0
2000-09-16 21:58:38.910,"38 km SW of Gilgit, Pakistan",4.5,86.2,35.669,74.016,35.5,74.0,35.5_74.0
2000-09-15 08:21:59.450,"76 km NNE of Khand?d, Afghanistan",4.2,183.8,37.613,72.569,37.5,72.5,37.5_72.5
2000-09-13 17:55:59.510,"Southern Qinghai, China",4.1,33.0,34.079,95.125,34.0,95.0,34.0_95.0
2000-09-13 15:11:19.630,"Southern Qinghai, China",5.0,33.0,34.144,95.118,34.0,95.0,34.0_95.0
2000-09-10 23:32:37.960,"120 km NE of Tawang, India",4.2,33.0,28.402,92.726,28.0,92.5,28.0_92.5
2000-09-10 18:58:04.090,"158 km SSW of Zangguy, China",4.2,97.2,35.965,78.076,35.5,78.0,35.5_78.0
2000-09-10 09:40:26.740,"45 km SSW of Jurm, Afghanistan",4.5,200.0,36.483,70.647,36.0,70.5,36.0_70.5
2000-09-09 06:01:53.400,"60 km NNE of Sabang, Indonesia",5.7,229.3,6.422,95.456,6.0,95.0,6.0_95.0
2000-09-08 03:36:56.110,"68 km SE of Farkh?r, Afghanistan",4.7,139.9,36.091,70.336,36.0,70.0,36.0_70.0
2000-09-07 22:14:10.080,"48 km SW of Ashk?sham, Afghanistan",3.9,207.1,36.433,71.091,36.0,71.0,36.0_71.0
2000-09-06 12:19:05.880,"30 km ESE of B?z?rak, Afghanistan",3.8,81.1,35.187,69.817,35.0,69.5,35.0_69.5
2000-09-06 07:19:13.500,"76 km NNE of Kod?ri??, Nepal",3.7,105.4,28.557,86.345,28.5,86.0,28.5_86.0
2000-09-05 00:32:42.900,"5 km W of P?tan, India",5.2,10.0,17.367,73.849,17.0,73.5,17.0_73.5
2000-09-01 03:48:22.920,"69 km ESE of Hakha, Myanmar",3.8,65.7,22.385,94.231,22.0,94.0,22.0_94.0
2000-08-31 02:08:45.950,"79 km NE of Sar?han, India",4.7,36.5,32.001,78.407,32.0,78.0,32.0_78.0
2000-08-30 17:45:09.520,"88 km WSW of Zangguy, China",4.5,33.0,37.091,77.795,37.0,77.5,37.0_77.5
2000-08-30 10:06:51.080,"60 km NNW of P?r?n, Afghanistan",4.3,115.3,35.946,70.752,35.5,70.5,35.5_70.5
2000-08-30 05:39:47.940,"147 km SSE of Port Blair, India",4.8,95.1,10.539,93.47,10.5,93.0,10.5_93.0
2000-08-30 03:33:31.460,"183 km ENE of Nagqu, China",3.8,33.0,32.393,93.679,32.0,93.5,32.0_93.5
2000-08-29 14:51:33.140,"48 km SE of W?ngjing, India",3.9,33.0,24.334,94.448,24.0,94.0,24.0_94.0
2000-08-29 02:17:46.850,"43 km SE of Farkh?r, Afghanistan",4.2,205.0,36.326,70.235,36.0,70.0,36.0_70.0
2000-08-28 11:32:03.500,"37 km S of Jurm, Afghanistan",4.7,214.7,36.531,70.773,36.5,70.5,36.5_70.5
2000-08-25 19:13:21.920,"15 km SW of Ashk?sham, Afghanistan",3.9,195.1,36.578,71.415,36.5,71.0,36.5_71.0
2000-08-23 22:03:07.700,"30 km SW of Chauk, Myanmar",3.8,33.0,20.747,94.577,20.5,94.5,20.5_94.5
2000-08-23 17:43:37.870,western Xizang,3.9,33.0,35.797,88.431,35.5,88.0,35.5_88.0
2000-08-23 16:31:54.280,"46 km SSE of Magway, Myanmar",4.4,86.6,19.785,95.152,19.5,95.0,19.5_95.0
2000-08-22 00:14:31.490,Afghanistan-Pakistan border region,4.2,33.0,30.601,66.654,30.5,66.5,30.5_66.5
2000-08-18 20:11:34.750,"78 km SSE of Farkh?r, Afghanistan",4.2,124.5,35.889,70.076,35.5,70.0,35.5_70.0
2000-08-18 07:04:01.980,"56 km NW of P?r?n, Afghanistan",3.8,33.0,35.825,70.543,35.5,70.5,35.5_70.5
2000-08-17 19:16:22.770,"67 km WSW of Sabang, Indonesia",4.7,125.8,5.699,94.733,5.5,94.5,5.5_94.5
2000-08-17 18:40:09.820,"63 km WSW of Sabang, Indonesia",5.7,68.3,5.772,94.753,5.5,94.5,5.5_94.5
2000-08-17 07:32:50.550,"64 km SSE of Jurm, Afghanistan",4.5,211.3,36.3,70.986,36.0,70.5,36.0_70.5
2000-08-17 06:09:56.260,"219 km SSE of Port Blair, India",4.0,33.0,9.927,93.718,9.5,93.5,9.5_93.5
2000-08-16 23:31:04.330,"57 km SE of Farkh?r, Afghanistan",4.2,124.8,36.229,70.335,36.0,70.0,36.0_70.0
2000-08-16 23:06:29.210,"9 km NW of Dhing, India",4.4,33.0,26.535,92.416,26.5,92.0,26.5_92.0
2000-08-15 12:23:35.580,"Nicobar Islands, India region",4.6,122.3,8.103,93.492,8.0,93.0,8.0_93.0
2000-08-13 14:59:34.410,"69 km E of W?ngjing, India",4.3,65.8,24.67,94.742,24.5,94.5,24.5_94.5
2000-08-13 13:28:22.890,"6 km NW of Chal?la, India",4.7,14.3,21.458,71.123,21.0,71.0,21.0_71.0
2000-08-11 12:00:55.370,"39 km WSW of Ashk?sham, Afghanistan",3.8,230.6,36.52,71.138,36.5,71.0,36.5_71.0
2000-08-10 11:28:13.920,"62 km NNW of P?r?n, Afghanistan",4.4,33.0,35.939,70.666,35.5,70.5,35.5_70.5
2000-08-10 11:26:49.570,"28 km WNW of Dajal, Pakistan",4.8,33.0,29.646,70.096,29.5,70.0,29.5_70.0
2000-08-10 08:43:17.630,"36 km NNE of Skardu, Pakistan",4.2,33.0,35.621,75.728,35.5,75.5,35.5_75.5
2000-08-10 00:28:37.450,"39 km SSE of Jurm, Afghanistan",4.4,209.5,36.549,71.03,36.5,71.0,36.5_71.0
2000-08-09 21:02:37.510,"171 km E of Leh, India",3.5,33.0,33.951,79.425,33.5,79.0,33.5_79.0
2000-08-09 05:06:54.410,"21 km WSW of Asad?b?d, Afghanistan",4.7,33.0,34.772,70.949,34.5,70.5,34.5_70.5
2000-08-09 05:03:54.330,"25 km NNW of Shinpokh, Pakistan",4.6,33.0,34.52,71.033,34.5,71.0,34.5_71.0
2000-08-06 17:52:55.360,"84 km W of Sabang, Indonesia",4.7,72.3,6.038,94.568,6.0,94.5,6.0_94.5
2000-08-05 15:01:44.350,"228 km E of Nagqu, China",4.2,33.0,31.855,94.427,31.5,94.0,31.5_94.0
2000-08-02 17:58:28.650,"56 km S of Hakha, Myanmar",4.3,33.0,22.143,93.538,22.0,93.5,22.0_93.5
2000-08-02 17:09:41.440,"31 km SSE of Ashk?sham, Afghanistan",4.2,113.2,36.409,71.639,36.0,71.5,36.0_71.5
2000-07-31 17:02:40.230,"34 km WNW of Khand?d, Afghanistan",4.3,174.4,37.05,71.945,37.0,71.5,37.0_71.5
2000-07-31 12:28:12.380,"97 km NE of Thang, India",3.8,33.0,35.425,77.67,35.0,77.5,35.0_77.5
2000-07-30 23:20:05.940,"256 km NW of Sabang, Indonesia",4.3,88.5,7.696,93.859,7.5,93.5,7.5_93.5
2000-07-28 22:26:14.000,"46 km SSE of Magway, Myanmar",4.4,33.0,19.793,95.159,19.5,95.0,19.5_95.0
2000-07-28 05:22:23.720,Afghanistan-Tajikistan-Pakistan region,5.4,225.4,36.53,71.011,36.5,71.0,36.5_71.0
2000-07-27 08:44:58.010,"44 km S of Nahr?n, Afghanistan",4.0,33.0,35.664,69.2,35.5,69.0,35.5_69.0
2000-07-24 19:04:04.410,"61 km SSW of Ashk?sham, Afghanistan",4.5,98.8,36.204,71.196,36.0,71.0,36.0_71.0
2000-07-24 03:48:19.550,"47 km SW of Ashk?sham, Afghanistan",3.9,227.2,36.385,71.147,36.0,71.0,36.0_71.0
2000-07-23 21:49:55.810,"170 km NNE of Nagqu, China",3.6,33.0,32.867,92.825,32.5,92.5,32.5_92.5
2000-07-23 15:16:33.090,"29 km NNE of Ishqoshim, Tajikistan",4.2,130.5,36.962,71.762,36.5,71.5,36.5_71.5
2000-07-22 13:35:54.650,"217 km SSE of Port Blair, India",4.3,33.0,9.99,93.787,9.5,93.5,9.5_93.5
2000-07-20 06:48:57.660,"75 km WSW of Gilgit, Pakistan",4.5,72.0,35.642,73.547,35.5,73.5,35.5_73.5
2000-07-20 05:54:04.180,"64 km E of Phek, India",4.3,92.6,25.648,95.139,25.5,95.0,25.5_95.0
2000-07-19 14:27:36.020,"70 km N of Bamboo Flat, India",4.6,51.3,12.339,92.66,12.0,92.5,12.0_92.5
2000-07-19 12:08:54.750,"81 km S of Shache, China",4.5,33.0,37.688,77.366,37.5,77.0,37.5_77.0
2000-07-18 09:34:49.370,"39 km NW of Khand?d, Afghanistan",3.9,200.3,37.205,72.0,37.0,72.0,37.0_72.0
2000-07-18 04:31:40.970,"67 km SSE of Farkh?r, Afghanistan",3.5,33.0,35.976,70.008,35.5,70.0,35.5_70.0
2000-07-17 22:53:47.300,"65 km S of Jurm, Afghanistan",6.3,141.4,36.283,70.924,36.0,70.5,36.0_70.5
2000-07-17 12:22:29.970,"31 km NE of Rust?q, Afghanistan",4.1,33.0,37.285,70.123,37.0,70.0,37.0_70.0
2000-07-17 06:52:11.620,"24 km SSW of Bomdila, India",4.3,33.0,27.071,92.304,27.0,92.0,27.0_92.0
2000-07-17 05:26:08.780,"10 km N of Battagram, Pakistan",5.0,33.0,34.772,73.029,34.5,73.0,34.5_73.0
2000-07-14 20:26:09.490,"217 km E of Leh, India",3.6,33.0,33.807,79.901,33.5,79.5,33.5_79.5
2000-07-14 19:34:28.900,"Nicobar Islands, India region",4.5,33.0,8.89,93.626,8.5,93.5,8.5_93.5
2000-07-14 19:09:09.620,"Nicobar Islands, India region",4.0,33.0,7.763,94.075,7.5,94.0,7.5_94.0
2000-07-14 07:41:13.750,"16 km SSW of Fayzabad, Afghanistan",4.2,128.0,36.971,70.537,36.5,70.5,36.5_70.5
2000-07-12 22:23:59.600,"260 km ENE of Burang, China",4.8,33.0,31.508,83.506,31.5,83.5,31.5_83.5
2000-07-11 14:59:36.210,"79 km SE of Farkh?r, Afghanistan",3.8,33.0,36.111,70.541,36.0,70.5,36.0_70.5
2000-07-10 04:25:15.770,"146 km N of Nagqu, China",5.4,33.0,32.795,92.202,32.5,92.0,32.5_92.0
2000-07-09 21:03:14.810,"222 km E of Leh, India",4.0,33.0,34.223,79.996,34.0,79.5,34.0_79.5
2000-07-09 01:24:05.840,"43 km SSE of Ashk?sham, Afghanistan",3.7,149.2,36.349,71.79,36.0,71.5,36.0_71.5
2000-07-07 16:14:15.790,"202 km E of Leh, India",4.7,33.0,34.101,79.776,34.0,79.5,34.0_79.5
2000-07-06 11:38:58.220,"61 km ESE of Farkh?r, Afghanistan",4.4,231.7,36.298,70.456,36.0,70.0,36.0_70.0
2000-07-05 21:59:49.960,"196 km E of Leh, India",4.5,33.0,34.214,79.719,34.0,79.5,34.0_79.5
2000-07-05 19:57:12.480,"63 km SW of Ashk?sham, Afghanistan",4.3,152.6,36.282,71.03,36.0,71.0,36.0_71.0
2000-07-05 18:50:20.490,"201 km E of Leh, India",4.7,33.0,33.974,79.758,33.5,79.5,33.5_79.5
2000-07-05 18:47:12.740,"201 km E of Leh, India",4.0,33.0,34.198,79.769,34.0,79.5,34.0_79.5
2000-07-05 16:04:37.400,"72 km NE of Khand?d, Afghanistan",4.1,139.1,37.416,72.895,37.0,72.5,37.0_72.5
2000-07-05 05:56:34.340,"208 km E of Leh, India",4.6,33.0,34.171,79.85,34.0,79.5,34.0_79.5
2000-07-05 03:48:23.950,"270 km NNE of Bamboo Flat, India",4.0,33.0,13.99,93.578,13.5,93.5,13.5_93.5
2000-07-04 22:37:26.540,"21 km SSE of Khanabad, Afghanistan",3.9,33.0,36.497,69.159,36.0,69.0,36.0_69.0
2000-07-04 08:10:05.880,"89 km NE of Sar?han, India",4.1,33.0,32.101,78.442,32.0,78.0,32.0_78.0
